,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
17,0.0019054889678955078,0.00020017777242886477,0.008121347427368164,0.0013970005132191423,ball_tree,19,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 19, 'p': 1, 'weights': 'distance'}",-0.20279720279720279,-0.18181818181818182,-0.15492957746478872,-0.18309859154929578,-0.19014084507042253,-0.18258426966292135,0.01568892893220326,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
77,0.0029073715209960937,0.0015657800237656007,0.014338922500610352,0.008535957789257517,auto,19,1,distance,"{'algorithm': 'auto', 'n_neighbors': 19, 'p': 1, 'weights': 'distance'}",-0.20279720279720279,-0.18181818181818182,-0.15492957746478872,-0.18309859154929578,-0.19014084507042253,-0.18258426966292135,0.01568892893220326,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
37,0.0016043663024902343,0.00020060564747933113,0.007519912719726562,0.0008391356329976312,kd_tree,19,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 19, 'p': 1, 'weights': 'distance'}",-0.20279720279720279,-0.18181818181818182,-0.15492957746478872,-0.18309859154929578,-0.19014084507042253,-0.18258426966292135,0.01568892893220326,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
57,0.0010028362274169921,0.00044819426924849206,0.005916452407836914,0.001990166202723589,brute,19,1,distance,"{'algorithm': 'brute', 'n_neighbors': 19, 'p': 1, 'weights': 'distance'}",-0.20279720279720279,-0.18181818181818182,-0.15492957746478872,-0.18309859154929578,-0.19014084507042253,-0.18258426966292135,0.01568892893220326,1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
53,0.0013063907623291015,0.0004051283702762912,0.00451192855834961,0.0008968147809308949,brute,18,1,distance,"{'algorithm': 'brute', 'n_neighbors': 18, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.18181818181818182,-0.14788732394366197,-0.19014084507042253,-0.19718309859154928,-0.1853932584269663,0.020853700157392668,5,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
13,0.0018044471740722655,0.00024526324924412264,0.006621265411376953,0.0005886895987567113,ball_tree,18,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 18, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.18181818181818182,-0.14788732394366197,-0.19014084507042253,-0.19718309859154928,-0.1853932584269663,0.020853700157392668,5,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
73,0.0016061782836914063,0.0003755893288886279,0.007022047042846679,0.0014545816383016532,auto,18,1,distance,"{'algorithm': 'auto', 'n_neighbors': 18, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.18181818181818182,-0.14788732394366197,-0.19014084507042253,-0.19718309859154928,-0.1853932584269663,0.020853700157392668,5,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
33,0.0015038490295410157,0.00031710960247247674,0.00641927719116211,0.0007395935025391245,kd_tree,18,1,distance,"{'algorithm': 'kd_tree', 'n_neighbors': 18, 'p': 1, 'weights': 'distance'}",-0.2097902097902098,-0.18181818181818182,-0.14788732394366197,-0.19014084507042253,-0.19718309859154928,-0.1853932584269663,0.020853700157392668,5,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,0.001403045654296875,0.000583184348164946,0.009501886367797852,0.0007070266587345991,ball_tree,15,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.18181818181818182,-0.16901408450704225,-0.19014084507042253,-0.19014084507042253,-0.18679775280898878,0.011132132025722169,9,-0.18804920913884007,-0.18101933216168717,-0.18421052631578946,-0.1824561403508772,-0.17543859649122806,-0.1822347608916844,0.004133414662252651
60,0.002607870101928711,0.0019929576903420054,0.018151092529296874,0.007099388220209335,auto,15,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.18181818181818182,-0.16901408450704225,-0.19014084507042253,-0.19014084507042253,-0.18679775280898878,0.011132132025722169,9,-0.18804920913884007,-0.18101933216168717,-0.18421052631578946,-0.1824561403508772,-0.17543859649122806,-0.1822347608916844,0.004133414662252651
20,0.0026070117950439454,0.0013234377214450693,0.020958518981933592,0.01043482065708483,kd_tree,15,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.18181818181818182,-0.16901408450704225,-0.19014084507042253,-0.19014084507042253,-0.18679775280898878,0.011132132025722169,9,-0.18804920913884007,-0.18101933216168717,-0.18421052631578946,-0.1824561403508772,-0.17543859649122806,-0.1822347608916844,0.004133414662252651
40,0.0014037609100341797,0.000375744878932751,0.013636589050292969,0.0016290980760732285,brute,15,1,uniform,"{'algorithm': 'brute', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",-0.20279720279720279,-0.18181818181818182,-0.16901408450704225,-0.19014084507042253,-0.19014084507042253,-0.18679775280898878,0.011132132025722169,9,-0.18804920913884007,-0.18101933216168717,-0.18421052631578946,-0.1824561403508772,-0.17543859649122806,-0.1822347608916844,0.004133414662252651
36,0.001808023452758789,0.0004065630777090331,0.014936542510986328,0.0013540275920726394,kd_tree,19,1,uniform,"{'algorithm': 'kd_tree', 'n_neighbors': 19, 'p': 1, 'weights': 'uniform'}",-0.2097902097902098,-0.1958041958041958,-0.1619718309859155,-0.18309859154929578,-0.19014084507042253,-0.18820224719101122,0.01575982672255745,13,-0.17926186291739896,-0.17750439367311072,-0.18421052631578946,-0.18070175438596492,-0.17894736842105263,-0.18012518114266335,0.002281384229554589
